,Education,Marital_Status,Income,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases,Age,day_engaged,cluster
0,0,0,58138.0,0,1617,1,25,58,997,2
1,0,0,46344.0,2,27,0,6,61,151,1
2,0,1,71613.0,0,776,0,21,50,498,2
3,0,1,26646.0,1,53,0,8,31,91,1
4,0,1,58293.0,1,422,0,19,34,347,1
5,0,1,62513.0,1,716,0,22,48,479,2
6,0,0,55635.0,1,590,0,21,44,779,2
7,0,1,33454.0,1,169,0,10,30,514,1
8,0,1,30351.0,1,46,1,6,41,574,1
9,0,1,5648.0,2,49,1,2,65,294,1
10,0,1,52247.25135379061,1,19,0,4,32,412,1
11,1,1,7500.0,0,61,0,6,39,779,3
12,0,0,63033.0,0,1102,0,16,56,412,2
13,0,0,59354.0,2,310,0,15,63,412,1
14,0,1,17323.0,0,46,0,5,28,813,1
15,0,0,82800.0,0,1315,3,26,69,768,2
16,0,1,41850.0,2,96,0,9,35,738,1
17,0,1,37760.0,0,317,0,13,69,853,1
18,0,1,76995.0,1,1782,1,26,66,644,2
19,0,0,33812.0,1,133,0,8,30,1026,1
20,0,1,37040.0,0,316,0,12,33,876,1
21,0,1,2447.0,1,1730,0,43,36,579,2
22,0,1,58607.0,1,972,1,17,66,739,2
23,0,1,65324.0,1,544,0,20,61,61,2
24,0,1,40689.0,1,444,0,20,64,654,1
25,0,0,18589.0,0,75,0,8,46,699,1
26,0,1,53359.0,2,257,0,14,39,584,1
27,0,0,52247.25135379061,1,637,0,27,29,680,2
28,0,1,38360.0,1,131,0,9,26,580,1
29,0,1,84618.0,0,1672,1,26,50,405,2
30,0,0,10979.0,0,30,0,8,26,224,1
31,0,1,38620.0,0,318,0,11,52,422,1
32,0,1,40548.0,1,120,1,9,45,813,1
33,0,0,46610.0,2,302,1,17,63,794,1
34,0,1,68657.0,0,1196,0,18,69,680,2
35,0,0,49389.0,2,65,0,6,64,490,1
36,0,1,67353.0,1,913,0,28,45,366,2
37,0,1,23718.0,1,81,0,9,39,691,1
38,0,0,42429.0,1,67,0,7,42,60,1
39,0,0,48948.0,0,902,2,24,72,729,2
40,0,1,80011.0,1,1395,0,21,35,612,2
41,0,1,20559.0,1,53,0,7,30,394,1
42,0,1,21994.0,1,22,0,4,58,738,1
43,0,0,52247.25135379061,0,186,0,9,56,600,1
44,0,1,7500.0,1,31,0,8,40,690,1
45,0,0,79941.0,0,984,0,16,39,187,2
46,0,1,7500.0,0,122,1,10,19,842,1
47,0,1,41728.0,1,55,0,5,47,587,1
48,0,0,52247.25135379061,3,124,0,10,64,365,1
49,0,1,72550.0,2,1319,0,28,61,873,2
50,0,0,65486.0,1,507,0,17,58,27,1
51,0,1,79143.0,0,1693,0,29,51,784,2
52,0,0,35790.0,1,72,0,7,38,699,1
53,0,0,82582.0,0,1617,3,21,38,179,2
54,0,1,66373.0,2,606,0,23,37,391,1
55,0,1,82384.0,0,1957,2,27,60,773,2
56,0,0,70287.0,0,1093,1,21,49,696,2
57,0,0,27938.0,1,29,0,6,27,248,1
58,0,0,52247.25135379061,1,46,0,7,33,563,1
59,0,1,55954.0,1,518,0,19,47,304,1
60,0,0,75777.0,0,1438,3,21,33,634,2
61,0,1,66653.0,2,612,0,22,40,906,2
62,0,0,61823.0,1,884,0,24,63,682,2
63,0,0,67680.0,1,606,0,19,64,421,2
64,0,1,70666.0,0,1076,0,16,67,568,2
65,0,1,25721.0,1,34,1,5,44,590,1
66,0,1,32474.0,2,11,0,4,48,57,1
67,0,0,88194.0,1,1274,3,32,36,288,2
68,0,1,69096.0,1,653,0,18,57,461,2
69,0,1,74854.0,3,1562,0,19,45,515,2
70,0,1,66991.0,0,1253,0,21,61,783,2
71,0,1,52247.25135379061,1,109,0,9,42,839,1
72,0,1,65031.0,1,863,0,30,56,655,2
73,0,1,60631.0,2,661,1,24,40,607,2
74,0,1,28332.0,0,65,0,8,63,246,1
75,0,0,40246.0,1,13,0,4,38,743,1
76,0,1,75251.0,0,1890,1,19,43,857,2
77,0,0,75825.0,0,2209,2,22,39,752,2
78,0,1,26326.0,0,18,0,4,39,632,1
79,0,1,56046.0,0,692,2,21,50,699,2
80,0,0,29760.0,1,165,0,12,30,855,1
81,0,1,26304.0,1,16,0,4,46,557,1
82,0,1,23559.0,1,79,0,9,42,665,1
83,0,1,38620.0,0,318,0,11,52,422,1
84,0,0,81361.0,0,778,0,27,28,310,2
85,0,1,29440.0,2,56,0,7,55,419,1
86,0,1,36138.0,2,151,1,13,45,534,1
87,0,0,50388.0,1,372,3,17,58,218,2
88,0,1,79593.0,0,1366,1,19,42,27,2
89,0,1,54178.0,1,194,0,10,48,345,1
90,0,1,52247.25135379061,3,603,0,29,58,773,1
91,0,0,52247.25135379061,2,18,0,4,58,219,1
92,0,1,52247.25135379061,0,985,0,15,42,404,2
93,0,0,42394.0,1,32,0,5,43,284,1
94,0,1,23626.0,1,43,0,10,45,222,1
95,0,1,30096.0,1,45,0,6,32,224,1
96,0,0,47916.0,1,606,1,22,55,770,2
97,0,0,51813.0,2,63,0,7,43,423,1
98,0,1,78497.0,0,978,1,25,64,719,2
99,0,1,50150.0,0,410,0,16,32,560,1
100,0,0,47823.0,1,72,0,7,55,527,1
101,0,0,34554.0,1,55,0,7,56,277,1
102,0,1,85693.0,1,1169,0,27,36,621,2
103,0,1,65846.0,0,1120,0,16,70,594,2
104,0,1,87195.0,0,1097,1,20,56,149,2
105,1,1,24594.0,1,29,0,5,36,446,3
106,0,1,49096.0,2,187,0,13,51,464,1
107,0,1,52413.0,2,910,0,26,46,698,2
108,0,0,38557.0,1,145,0,9,37,743,1
109,0,1,89058.0,0,850,0,14,55,903,2
110,0,1,77298.0,1,969,0,24,36,689,2
111,0,0,68126.0,0,1820,2,17,24,812,2
112,0,1,57288.0,1,608,1,20,52,190,2
113,0,0,86037.0,0,730,3,25,24,699,2
114,0,1,43974.0,1,551,0,21,35,750,1
115,0,0,50785.0,2,114,0,8,53,449,1
116,0,1,90765.0,0,1724,2,15,45,342,2
117,0,1,36550.0,1,577,0,20,37,681,1
118,0,1,30753.0,2,81,0,7,48,420,1
119,0,1,21918.0,1,33,0,7,46,413,1
120,0,1,56129.0,1,660,0,22,62,560,2
121,0,0,32557.0,1,80,1,9,48,311,1
122,0,1,19510.0,2,30,0,6,30,632,1
123,0,0,30992.0,1,43,0,5,39,619,1
124,0,0,101970.0,0,1135,4,27,32,394,2
125,0,1,71488.0,0,559,0,16,50,682,2
126,0,0,79607.0,0,1923,1,16,31,620,2
127,0,1,54348.0,2,90,0,8,62,148,1
128,0,1,52247.25135379061,1,404,0,17,54,420,1
129,0,1,77376.0,2,661,0,23,59,88,2
130,0,1,62998.0,1,463,0,19,63,458,2
131,0,0,61331.0,2,632,0,23,57,455,2
132,0,1,73448.0,0,725,0,19,46,91,2
133,0,1,52247.25135379061,1,725,0,19,52,419,2
134,0,1,41551.0,2,279,0,16,51,505,1
135,0,1,62981.0,0,1482,1,23,48,655,2
136,1,0,9548.0,1,29,0,6,39,876,3
137,0,1,33762.0,3,106,0,9,56,543,1
138,0,0,35860.0,2,49,2,6,42,227,1
139,0,0,36921.0,2,38,0,7,50,522,1
140,0,0,92859.0,0,2077,0,22,23,804,2
141,0,1,65104.0,1,1053,1,17,39,413,2
142,0,1,86111.0,0,1385,0,23,53,622,2
143,0,0,68352.0,1,871,0,25,41,491,2
144,0,1,41883.0,1,312,0,12,27,653,1
145,0,1,59809.0,2,877,0,15,39,805,1
146,0,1,23957.0,1,68,1,6,40,795,1
147,0,1,38547.0,1,22,0,4,34,491,1
148,0,1,35688.0,3,211,0,16,42,862,1
149,0,1,49605.0,0,127,0,8,49,194,1
150,0,1,59354.0,2,459,0,16,62,252,1
151,0,1,65747.0,1,460,1,19,46,182,2
152,0,1,46344.0,1,429,0,17,43,748,1
153,0,0,34176.0,1,89,0,11,27,27,1
154,0,1,61010.0,1,1021,0,26,63,843,2
155,0,1,69372.0,0,1381,3,21,66,681,2
156,0,0,49967.0,1,306,0,15,57,512,1
157,0,0,60199.0,3,18,0,4,37,388,1
158,0,1,55375.0,1,162,0,9,38,441,1
159,0,0,80317.0,0,1231,0,18,60,499,2
160,0,0,30523.0,3,13,0,4,57,724,1
161,0,1,70356.0,0,1706,0,27,70,965,2
162,0,1,23228.0,1,121,0,11,31,245,1
163,0,0,74165.0,0,1293,0,20,40,726,2
164,0,1,157243.0,1,1608,0,37,42,363,2
165,0,1,43482.0,3,88,0,9,49,414,1
166,0,0,62551.0,0,421,1,18,62,409,2
167,0,0,52332.0,0,259,1,12,56,491,1
168,0,0,66951.0,0,1117,0,15,27,689,2
169,0,1,26091.0,2,89,0,9,58,310,1
170,0,1,33456.0,2,36,0,6,50,255,1
171,0,1,28718.0,1,57,0,7,33,537,1
172,0,1,50447.0,2,148,0,8,45,255,1
173,0,1,53537.0,2,93,0,8,56,336,1
174,0,0,52074.0,1,119,1,7,48,272,1
175,0,1,80427.0,1,1835,0,28,40,753,2
176,0,1,83837.0,0,1318,3,25,67,746,2
177,0,1,38853.0,2,45,0,7,45,223,1
178,0,1,38285.0,3,10,0,4,56,191,1
179,0,1,78497.0,0,978,1,25,64,719,2
180,0,1,51650.0,1,191,0,10,39,57,1
181,0,1,16248.0,1,57,0,9,27,88,1
182,0,1,66835.0,0,1033,0,24,69,460,2
183,0,1,30477.0,1,66,0,6,31,344,1
184,1,1,28249.0,0,43,0,6,54,200,3
185,0,1,25271.0,1,50,0,5,32,964,1
186,0,0,32303.0,1,39,0,7,45,151,1
187,0,1,61286.0,1,608,0,18,49,692,2
188,0,1,74068.0,0,1581,0,24,39,653,2
189,0,1,45759.0,2,68,0,7,51,677,1
190,1,1,24882.0,1,80,1,5,37,844,3
191,0,1,66973.0,0,1282,0,28,26,594,2
192,0,0,36640.0,1,65,0,6,115,462,1
193,0,1,38872.0,1,91,0,8,27,581,1
194,0,1,51148.0,2,315,0,16,42,682,1
195,0,1,31353.0,2,31,0,6,38,368,1
196,0,1,69661.0,0,834,0,23,35,233,2
197,0,1,80067.0,0,1600,1,17,61,469,2
198,0,1,86718.0,0,1270,0,17,61,714,2
199,0,0,46854.0,2,263,2,15,42,276,1
200,0,0,69142.0,1,535,1,19,63,186,2
201,0,0,75922.0,0,1295,0,18,47,476,2
202,0,0,63693.0,1,1150,0,29,37,444,2
203,0,1,102160.0,0,1240,4,26,38,1055,2
204,0,0,40637.0,2,38,0,6,50,533,1
205,0,0,18890.0,0,35,2,4,31,812,1
206,0,1,29604.0,1,53,1,5,27,507,1
207,0,0,48721.0,2,293,0,17,52,598,1
208,0,1,44794.0,1,65,0,6,49,148,1
209,0,0,64497.0,1,1804,2,29,61,814,2
210,0,1,46097.0,1,241,0,15,59,641,1
211,0,1,77972.0,0,1101,0,20,61,289,2
212,0,1,44377.0,2,264,0,19,47,966,1
213,0,1,46014.0,2,541,0,26,41,710,1
214,0,1,70951.0,0,1198,0,17,30,636,2
215,0,1,41443.0,1,482,0,20,38,362,1
216,0,0,52195.0,3,17,0,4,37,27,1
217,0,1,83790.0,0,1615,2,25,67,412,2
218,0,0,44551.0,1,285,0,12,61,488,1
219,0,1,69508.0,1,1135,0,28,35,778,2
220,0,1,45204.0,1,114,0,7,27,58,1
221,0,1,72460.0,0,1047,0,16,46,413,2
222,0,1,77622.0,2,714,0,22,45,262,2
223,0,1,30732.0,1,185,0,13,35,610,1
224,0,0,63887.0,1,1245,0,32,53,875,2
225,0,1,42011.0,1,189,0,12,37,646,1
226,0,1,51369.0,1,576,0,16,39,798,1
227,0,0,51537.0,1,1103,0,18,63,841,2
228,0,1,79930.0,0,1753,0,17,43,876,2
229,0,1,34320.0,1,17,0,4,29,319,1
230,0,0,37070.0,2,433,1,23,49,652,1
231,0,0,81975.0,1,1588,1,14,53,610,2
232,0,1,38590.0,1,22,0,4,44,596,1
233,0,0,15033.0,0,19,0,5,64,260,1
234,0,1,62745.0,1,1117,0,29,50,649,2
235,0,1,22212.0,1,69,0,8,40,476,1
236,0,1,23661.0,1,23,0,5,33,629,1
237,0,0,79761.0,1,605,0,19,57,631,2
238,0,0,7500.0,1,57,0,11,42,371,1
239,0,0,60182.0,1,22,0,4,122,229,1
240,0,0,73455.0,0,2088,1,22,47,430,2
241,0,1,64961.0,1,1009,0,16,57,739,2
242,0,0,22804.0,1,26,0,5,44,519,1
243,0,1,73687.0,0,1627,2,22,25,399,2
244,0,1,61074.0,1,1102,0,31,57,867,2
245,0,1,31686.0,2,17,0,6,51,240,1
246,0,1,80134.0,1,1690,4,16,43,591,2
247,0,1,75027.0,1,1390,0,21,62,487,2
248,0,1,67546.0,0,2126,0,20,27,853,2
249,0,1,65176.0,1,1531,0,25,46,794,2
250,0,0,31160.0,1,64,0,7,40,472,1
251,0,0,29938.0,1,26,0,6,30,431,1
252,0,0,102692.0,0,1112,5,29,41,607,2
253,0,1,26490.0,0,210,0,11,57,831,1
254,0,1,75702.0,2,1148,0,26,48,855,2
255,0,0,30899.0,1,33,0,6,41,810,1
256,0,1,63342.0,1,1101,1,19,54,807,2
257,0,0,45989.0,1,322,0,16,51,801,1
258,0,0,18701.0,2,44,0,10,51,635,1
259,0,0,40737.0,3,17,0,4,58,507,1
260,0,0,15287.0,1,31,2,6,36,813,1
261,0,0,69674.0,2,845,0,25,47,589,2
262,0,1,44159.0,1,275,0,15,45,198,1
263,0,1,37717.0,1,25,0,4,37,769,1
264,0,1,43776.0,2,275,1,17,63,670,1
265,0,1,38179.0,2,90,0,11,49,658,1
266,0,1,80124.0,0,1495,1,19,52,189,2
267,0,1,38097.0,2,184,2,11,45,808,1
268,0,1,72940.0,0,981,0,13,45,561,2
269,0,1,22070.0,1,67,0,8,45,631,1
270,0,0,69267.0,0,1635,1,14,62,831,2
271,0,0,31788.0,1,60,0,10,32,287,1
272,0,1,61905.0,1,231,0,12,40,274,1
273,0,1,29315.0,2,48,0,10,55,211,1
274,0,0,33378.0,2,99,0,9,52,578,1
275,0,1,66313.0,1,770,0,23,52,472,2
276,0,0,60714.0,0,957,1,23,59,714,2
277,0,1,77882.0,0,818,0,12,34,246,2
278,0,0,69867.0,0,925,2,17,29,696,2
279,0,0,63841.0,1,908,0,22,47,620,2
280,1,1,24480.0,1,102,0,10,34,425,3
281,0,1,51369.0,1,576,0,16,39,798,1
282,0,1,37760.0,0,317,0,13,69,853,1
283,0,1,65640.0,1,461,0,15,41,363,1
284,0,1,44319.0,2,37,0,7,40,259,1
285,0,1,30631.0,1,70,0,7,41,390,1
286,0,1,75278.0,0,930,0,23,63,702,2
287,0,1,50898.0,2,859,0,33,59,518,2
288,0,0,79946.0,0,1478,0,22,49,27,2
289,0,0,35416.0,0,390,0,16,66,567,1
290,0,1,32414.0,0,52,1,5,31,634,1
291,0,1,38361.0,1,137,0,10,46,370,1
292,0,1,82497.0,0,1919,1,19,35,792,2
293,0,1,16626.0,2,68,0,9,44,351,1
294,0,1,29672.0,2,25,0,4,50,394,1
295,0,1,55951.0,1,1374,2,23,63,861,2
296,0,0,35388.0,1,32,0,5,27,547,1
297,0,1,42386.0,1,100,0,7,29,718,1
298,0,0,68627.0,0,825,0,12,33,396,2
299,0,0,57912.0,1,916,1,28,50,290,2
300,0,0,35246.0,2,62,0,11,57,260,1
301,0,1,58821.0,1,728,0,21,59,387,2
302,0,1,46377.0,1,90,0,7,37,363,1
303,0,0,39747.0,1,273,0,13,27,263,1
304,0,1,23976.0,1,66,0,10,31,370,1
305,0,1,80950.0,0,1213,1,23,54,644,2
306,0,0,27038.0,0,107,1,7,49,835,1
307,0,0,77457.0,0,1157,1,18,68,243,2
308,0,1,64100.0,1,546,1,18,51,449,2
309,0,1,42670.0,0,241,0,11,23,614,1
310,0,0,12571.0,1,53,0,11,39,348,1
311,0,1,22574.0,3,37,0,7,48,430,1
312,0,1,52247.25135379061,0,1611,2,24,26,666,2
313,0,0,70893.0,0,1508,0,23,39,578,2
314,0,1,54198.0,2,235,0,16,49,380,1
315,0,1,28839.0,2,32,0,7,59,59,1
316,0,1,40321.0,2,102,0,8,43,521,1
317,0,0,66503.0,1,401,0,15,30,870,1
318,0,1,30833.0,2,28,0,6,64,534,1
319,0,0,52247.25135379061,3,1052,2,21,45,496,2
320,0,1,64795.0,1,680,0,21,44,714,2
321,0,1,34421.0,1,30,0,4,41,724,1
322,0,0,47025.0,2,20,0,4,50,121,1
323,0,0,64325.0,1,1307,0,23,54,548,2
324,0,0,40464.0,1,630,0,24,62,426,2
325,0,1,62187.0,0,1283,0,18,58,604,2
326,0,0,14849.0,1,65,0,9,39,693,1
327,0,1,27255.0,1,37,0,5,31,539,1
328,0,1,54432.0,3,38,0,5,65,483,1
329,0,0,29999.0,1,160,0,12,29,687,1
330,0,0,24072.0,1,23,0,4,32,625,1
331,0,0,33996.0,0,71,0,6,26,418,1
332,0,1,66334.0,1,1161,1,19,59,668,2
333,0,1,35178.0,1,59,2,5,44,457,1
334,0,1,22010.0,1,33,0,7,32,550,1
335,0,0,62204.0,2,946,0,22,55,753,2
336,0,0,75693.0,0,1442,4,22,47,933,2
337,0,1,30675.0,1,62,0,5,43,751,1
338,0,1,83003.0,0,1674,2,22,50,669,2
339,0,1,83532.0,0,1853,1,15,116,462,2
340,0,0,68655.0,0,1538,0,21,27,815,2
341,0,0,41411.0,0,139,0,8,29,538,1
342,0,1,55212.0,1,1182,2,20,46,769,2
343,0,1,59292.0,1,507,0,18,65,567,2
344,1,1,27190.0,1,18,2,4,42,504,3
345,0,0,82623.0,0,940,0,16,63,447,2
346,0,1,44300.0,2,42,0,6,50,557,1
347,0,0,84835.0,0,1190,1,15,45,199,2
348,0,0,30372.0,2,44,0,8,44,737,1
349,0,1,33181.0,1,16,1,4,39,306,1
350,0,1,71113.0,1,835,0,26,58,380,2
351,0,1,71952.0,1,1443,2,22,29,457,2
352,0,0,69759.0,0,1029,1,18,49,430,2
353,0,1,72099.0,0,1188,0,18,41,796,2
354,0,0,60000.0,1,1277,0,24,39,740,2
355,0,0,38643.0,2,49,0,7,37,398,1
356,0,1,50737.0,1,99,1,7,60,422,1
357,0,1,68462.0,0,1670,0,15,46,750,2
358,0,1,65073.0,0,900,0,14,72,499,2
359,0,1,46681.0,2,425,0,16,67,509,1
360,0,1,78618.0,0,2153,1,22,58,825,2
361,0,0,62187.0,1,636,0,21,46,285,2
362,0,1,28442.0,2,57,0,10,37,311,1
363,0,1,37717.0,1,25,0,4,37,769,1
364,0,1,51479.0,2,494,0,22,48,734,1
365,0,0,54803.0,1,693,0,19,46,863,2
366,0,1,79530.0,0,1348,0,26,55,594,2
367,0,0,31615.0,1,51,0,7,39,656,1
368,0,1,72025.0,0,1932,0,16,53,775,2
369,0,0,52614.0,1,990,0,16,40,1085,2
370,0,1,35684.0,1,30,0,5,31,254,1
371,0,1,48178.0,2,254,0,16,40,795,1
372,0,0,29548.0,1,29,1,5,45,490,1
373,0,0,63810.0,1,1371,1,23,49,781,2
374,0,0,38578.0,2,73,1,9,43,558,1
375,0,0,46098.0,2,120,0,11,40,866,1
376,0,0,22585.0,0,81,2,5,45,654,1
377,0,0,30279.0,1,37,0,5,26,732,1
378,0,1,66426.0,1,1377,0,20,54,690,2
379,0,0,30822.0,1,51,0,5,46,566,1
380,0,1,33581.0,2,17,0,4,46,518,1
381,0,1,19986.0,1,22,0,4,30,413,1
382,0,0,27421.0,0,324,0,14,61,750,1
383,0,1,35688.0,3,211,0,16,42,862,1
384,0,0,36143.0,1,19,0,4,34,277,1
385,0,0,10245.0,1,41,0,8,44,596,1
386,0,1,43795.0,1,492,2,17,47,442,2
387,0,1,63381.0,1,1005,0,26,55,966,2
388,0,1,38823.0,1,114,0,7,66,854,1
389,0,0,83664.0,2,1173,0,19,47,514,2
390,0,1,90300.0,0,1738,1,19,36,306,2
391,0,1,62499.0,1,222,0,12,36,476,1
392,0,0,74293.0,0,1127,0,16,22,271,2
393,0,1,51012.0,0,209,0,10,69,623,1
394,0,1,70777.0,1,787,0,23,47,310,2
395,0,1,68682.0,0,1598,0,24,24,570,2
396,0,1,43824.0,2,186,0,12,44,838,1
397,0,1,15345.0,1,47,1,6,31,853,1
398,0,0,23442.0,1,27,0,5,28,738,1
399,0,1,14515.0,1,96,1,11,35,842,1
400,0,0,31395.0,2,64,0,10,59,649,1
401,0,1,75276.0,0,1040,0,23,50,826,2
402,0,0,42373.0,2,163,0,13,41,504,1
403,0,1,30507.0,0,343,0,11,55,424,1
404,0,0,55521.0,3,446,2,24,60,436,2
405,0,1,48006.0,2,41,0,5,50,117,1
406,0,0,27213.0,1,70,1,9,43,854,1
407,0,0,65808.0,2,272,0,14,44,216,1
408,0,1,30351.0,1,46,0,6,41,574,1
409,0,1,50437.0,2,490,0,19,52,806,1
410,0,0,23616.0,1,79,1,8,33,775,1
411,0,1,53858.0,1,915,0,17,39,842,2
412,0,1,66465.0,1,1485,1,35,60,642,2
413,0,0,46923.0,1,369,0,16,28,862,1
414,0,1,75072.0,1,1073,0,19,53,708,2
415,0,1,75865.0,0,1242,0,19,72,276,2
416,0,1,19789.0,1,78,1,9,40,407,1
417,0,1,80134.0,0,1378,4,21,21,321,2
418,0,0,91065.0,0,1474,3,26,34,678,2
419,0,1,49505.0,2,751,0,29,44,608,2
420,0,1,37401.0,1,48,0,7,42,210,1
421,0,1,30096.0,1,45,0,6,32,224,1
422,0,1,18492.0,1,10,0,4,33,240,1
423,0,1,82584.0,0,1435,3,16,41,635,2
424,0,1,93027.0,0,2119,1,22,74,628,2
425,0,1,48686.0,3,20,0,4,62,629,1
426,0,1,92910.0,0,1795,3,27,29,252,2
427,0,1,75433.0,1,1188,2,19,26,242,2
428,0,1,10404.0,1,43,0,7,26,271,1
429,0,1,61314.0,1,1008,0,24,47,616,2
430,0,0,84865.0,0,1688,5,16,54,483,2
431,0,1,42387.0,1,684,0,21,26,794,1
432,0,1,67309.0,2,1082,0,39,48,708,2
433,0,1,75236.0,1,1068,0,25,51,402,2
434,0,0,30015.0,1,57,0,7,45,333,1
435,0,1,50943.0,1,46,0,5,59,559,1
436,0,0,67272.0,1,733,0,23,49,376,2
437,0,0,51529.0,1,467,0,17,66,541,1
438,0,1,32011.0,1,122,0,10,44,497,1
439,0,1,7500.0,1,36,0,7,29,548,1
440,0,1,28691.0,1,34,0,5,26,634,1
441,0,1,56223.0,1,156,0,10,67,377,1
442,0,1,18100.0,0,14,0,4,69,572,1
443,0,0,30279.0,1,37,0,5,26,732,1
444,0,1,20130.0,0,34,0,5,41,290,1
445,0,0,23295.0,0,20,0,4,56,537,1
446,0,0,42618.0,1,192,0,11,43,478,1
447,0,0,81246.0,0,1379,2,17,51,368,2
448,0,1,24027.0,1,48,0,7,39,482,1
449,0,1,55707.0,1,428,0,16,62,375,1
450,0,0,57959.0,1,868,0,27,60,695,2
451,0,1,56796.0,1,1001,0,27,46,684,2
452,0,0,36230.0,1,59,0,7,44,441,1
